ean,name,price,quantity
6754885424,Pepperoni Pizza Roll-Ups,5.99,49
3610864559,Mini Projector,169.99,70
7193056131,Veggie Chips Variety Pack,3.79,23
1387084011,Electric Toothbrush,49.95,39
1172244820,LED Strip Lights with Remote Control,29.99,60
3674690713,Chicken Salad Kit,5.99,51
0870246291,Organic Coconut Yogurt,4.49,82
8974846888,Folding Table,59.99,14
3607484589,Sushi Rice,3.99,92
8820399334,Peanut Butter Granola,4.99,44
0687273218,Dual Function Electric Skillet,59.99,24
9902495532,Phone Case,14.99,4
3416907795,Classic Minestrone Soup,2.99,84
7368300494,Fruit & Nut Trail Mix,4.99,48
5937448928,Slim Fit Chinos,54.99,23
8820879158,Scented Candles,19.99,31
5025223431,Teriyaki Sauce,2.99,92
9659623828,Creamy Garlic Dressing,3.99,48
9405196227,Cinnamon Sugar Popcorn,2.89,69
1932460535,Baked Potato Chips,2.49,36
7065111024,Baby Monitor,79.99,82
8387470112,Honey Roasted Peanuts,3.19,99
8751057522,Balsamic Vinaigrette,2.69,13
6252352551,Camping Lantern,34.99,14
2582776335,Canvas High-Top Sneakers,49.99,35
9302500535,Compressible Packing Cubes,29.99,30
8438106765,Chili Lime Corn Chips,2.79,85
6916804335,Pasta Primavera Kit,7.49,72
3437214381,High-Top Leather Boots,99.99,76
4882526735,Poppy Seed Dressing,3.49,75
2920195166,Electric Knife,39.99,20
5549491109,Maple Glazed Carrots,3.29,55
9183445099,Sesame Garlic Noodles,3.49,99
6980788078,Portable Pet Pooper Scooper,12.99,83
3247661492,Cherry Almond Protein Bar,1.99,28
0581147820,Adjustable Dog Harness,24.99,20
0642647585,Personal Blender with Travel Cup,39.99,90
8557372787,Cream Cheese,2.69,72
2615050982,Wireless Keyboard and Mouse Combo,34.99,36
9715022499,Laptop Backpack,69.99,74
7371232615,Sporty Leggings,39.99,80
1893749304,Peas (frozen),1.89,93
7913863692,Electric Toothbrush Holder,14.99,48
2765341192,Nutritional Yeast,3.59,84
6850117610,Scented Candle Set,24.99,43
5643770660,Wall-Mounted Spice Rack,39.99,94
3152608799,Frozen Chicken Nuggets,4.49,4
3188401477,Water Bottle with Built-in Fruit Infuser,18.99,13
1270064061,Tattoo Kit,99.99,51
6226109238,Running Shorts,34.99,78
4164211253,Lemon Garlic Shrimp,8.99,46
6054042068,Organic Tomato Ketchup,3.49,92
9770806706,Frozen Mixed Berries,5.99,7
2418482251,Sliced Cucumbers,1.29,45
7379796305,Gardening Tools Set,45,17
5322044590,Frozen Edamame,3.29,88
7296625945,Red Lentils,1.99,19
8180444244,Tahini,5.49,82
1833848780,Herbal Tea Infuser,9.99,49
1852095873,Decorative Throw Pillows,29.99,89
8858272161,Cranberry Citrus Sauce,3.99,64
5186330027,Spinach and Feta Wraps,4.99,56
9756141042,Throw Pillow Covers,22.99,71
5601352283,Wireless Keyboard and Mouse Combo,34.99,71
8489585709,Portable Speaker Stand,39.99,54
8860716632,Low-Fat Cottage Cheese,2.99,90
3736621698,Coconut Granola,4.19,22
4332898117,Tailored Dress Pants,79.99,98
9880514947,Electric Heat Pad,24.99,54
6651575228,Bamboo Cotton Tank Top,22.99,17
6909149793,Canvas Tote Bag,19.99,87
2562249739,Compact Electric Kettle,29.99,30
4679224576,Cucumber,0.99,17
4527511491,Pet Waterer with Filtration,39.99,47
9128409884,Chewy Granola Bars,3.49,31
6448832637,Portable Solar Generator,399.99,60
3837710769,Fitness Jump Rope,15.99,100
2448677565,Non-Stick Crepe Pan,29.99,50
1462188494,Garden Vegetable Soup,3.29,18
0691862885,Organic Baby Carrots,2.99,85
3816647553,Organic Coconut Water,2.79,12
1019466723,Outdoor Mosquito Repellent Lantern,34.99,10
9125326236,Baking Powder,1.79,41
1783748672,Stylish Combat Boots,99.99,22
6100658739,Coconut Cashew Yogurt,1.99,59
0639607039,Mango Chunks,4.89,97
2656007925,Portable Phone Charger,29.99,43
8713509209,Electric Meat Grinder,89.99,63
4283363987,Chicken Parmesan Dinner Kit,14.99,53
9832465028,Garden Vegetable Chips,3.49,67
5202712367,Pineapple Chunks (canned),2.29,35
3098061790,Smoked Paprika,2.99,77
8105942445,Potato Wedge Seasoning,2.49,32
2736343085,Set of Measuring Spoons,12.99,18
3726566015,Adjustable Dumbbells,249.99,47
7681613978,Survival Gear Kit,59.99,96
1545634475,Cauliflower Rice Stir-Fry,4.99,76
0585564728,Maple Bacon Potato Chips,2.89,16
6128134890,Window A/C Unit,299.99,14
4401543157,Gardening Tool Belt,22.99,16
8621191466,Garlic Herb Seasoning,1.99,73
9804146002,Warm Knit Beanie,19.99,11
7096925201,Recipe Book Stand,22.99,36
0162949510,Pet Water Fountain with Filtration,39.99,54
7068089267,Almond Coconut Granola,3.99,74
6197646889,Canned Coconut Milk,1.89,70
4608628941,Vegan Protein Powder,34.99,78
4780026806,Pasta Maker,39,22
5703100623,Digital Thermostat,59.99,18
1700400282,Classic Cheeseburger Mix,5.49,98
9049201873,Home Office Chair,199.99,19
6591788395,Frozen Acai Purée,6.99,68
2321324368,High-Waisted Skirt,34.99,10
7622735655,Blackberry Jam,4.29,48
1189744708,Miso Dressing,3.49,66
4750086282,Peanut Butter Chocolate Clusters,2.99,22
7008081596,Car Vacuum,49.99,65
0629380139,Coconut Cream Pie,9.49,7
2884302913,Tea Set with Infuser,34.99,31
0086361295,Beard Grooming Kit,34.99,34
1382144385,Digital Bullet Journal,24.99,41
3922128246,Pumpkin Pie Spice,2.99,73
3452661377,Savory Mushroom Risotto,6.49,70
9857349005,Telescope,159.99,6
0697722686,Ergonomic Mouse Pad with Wrist Support,14.99,63
6250033297,Organic Black Beans,1.29,28
5733426993,Pet Grooming Brush,19.99,10
0881305804,Caramelized Onion Dip,3.99,7
4223341677,Garlic Parmesan Wings,8.99,49
3899361121,Sweet Cherry Tomatoes,2.99,78
4483110810,Pet Travel Backpack Carrier,49.99,63
2351309073,Casual Sneakers,39.99,16
0361632665,Insulated Cooler,39.99,30
2526083931,Pet Camera with Treat Dispenser,149.99,34
1563383756,Classic Caesar Dressing,3.49,87
9363295354,Kids' Building Blocks,19.99,49
3214130692,Smart Doorbell,119.99,77
6632979378,Silicone Baking Cups,10.99,94
4340628190,Vegetable Pizza Rolls,6.49,55
9271689216,Compact Hair Dryer,29.99,35
2064812393,Electric Meat Grinder,89.99,44
6296768923,Insulated Cooler,39.99,59
8378626520,Organic Green Tea,4.29,93
5603119624,Luxury Memory Foam Mattress Topper,129.99,63
0530119862,Oven Thermometer,11.99,29
3211833277,Garlic Parmesan Roasted Nuts,4.89,36
5322837841,Smartphone Tripod,29.99,87
6541724881,Whole Grain Cereal,3.49,81
3161749111,Kettle Chip Variety Pack,3.99,81
4584974829,Kale Salad with Lemon Dressing,4.99,80
3286482536,Miso Soup Starter,2.99,16
6944703823,Coconut Yogurt,3.89,34
2417737582,Pet Bed with Removable Cover,49.99,84
9387716406,Adjustable Dog Harness,24.99,57
4181525465,Kids' Building Blocks,19.99,30
7556222489,Customizable Photo Calendar,19.99,37
8435539202,DIY Organic Gardening Kit,39.99,57
2105098649,Low-Fat Yogurt,3.29,95
9829340856,Steak Seasoning Rub,2.49,70
1470609304,Pet Hair Vacuum Attachment,14.99,97
6342775427,Carrot Ginger Soup,4.29,70
9462637806,Reusable Snack Bags,14.99,66
1408612356,Rustic Italian Breads,3.99,21
3036284753,Greek Feta Cheese,4.99,15
0423522345,Chickpea Salad Deluxe,4.29,11
0217698182,Stylish Wide-Leg Trousers,59.99,75
1605376485,Maple Oatmeal,2.99,27
9183627162,Video Camera,199,35
1199639176,Garlic Breadsticks,3.49,85
8649591639,Rice Noodles,3.49,64
4246328669,Fitness Tracker,49.99,81
9330056369,Bluetooth Car Adapter,24.99,71
9833043089,Set of Measuring Spoons,12.99,11
8812134955,Paprika,1.79,35
2890858839,Cranberry Almond Granola,4.29,62
2731478470,Electric Skillet,49.99,61
6406170083,Computer Monitor Stand,29.99,37
0271243880,Organic Black Beans,1.29,21
0205575528,Multifunctional Pocket Tool,19.99,75
3920560515,Fitness Tracker Band,29.99,57
8338509094,Mango Chili Salsa,4.29,6
8325759135,Thai Red Curry Paste,3.99,2
7361257224,Outdoor Camping Hammock,29.99,98
0601950275,Lemon Herb Grilled Chicken,9.99,42
4257118261,Board Game,34.99,26
7265232127,Organic Green Tea,4.29,31
1076237509,Casual Long Cardigan,45.99,92
7231143911,Green Smoothie Mix,5.99,35
5796915290,Personal Blender with Cups,34.99,11
4395386318,Chocolate Almond Milk,2.79,29
0765472031,Classic Minestrone Soup,2.99,40
8758314768,Printed Maxi Skirt,39.99,58
4372708114,Cocktail Shaker Set,29.99,87
8287773598,Honey Nut Cheerios,4.29,82
8544479049,Vegan Mac & Cheese,8.99,24
4266925867,Solar Charger,39.99,68
0453102301,Mini Projector,169.99,50
5549907828,Grilled Veggie Burgers,6.29,1
1873824408,LED Strip Lights Kit,29.99,66
4193628973,Cinnamon Spiced Almonds,5.99,35
0036641278,Black Olives,1.99,59
8292118381,Scent Diffuser,34.99,61
8717080487,Organic Almonds,8.99,6
7007645739,Personal Security Alarm Keychain,10.99,50
2205977326,Chilli Lime Corn on the Cob,1.99,24
3133953370,Vegetable Medley,2.99,69
4301606130,Ready-to-Eat Chili,2.99,8
9397426559,Foot Spa Bath Massager,59.99,48
6770724170,Couscous Mix,2.49,71
2833910770,Foot Spa Bath Massager,59.99,11
7549136645,Compressed Towel Tablets,12.99,60
3769342070,Outdoor Folding Table,39.99,13
3449720139,Cranberry Orange Oatmeal,2.49,67
6922936264,Hiking Gaiters,29.99,95
1141564238,Buffalo Style Cauliflower Bites,5.49,51
4882483599,Garden Tool Set,34.99,12
1139368303,LED Desk Light,34.99,98
5419347768,Spaghetti Sauce,2.99,47
5850817468,Smartwatch,199.99,78
0024855618,Jennifer's Amazing Lip Balm Kit,22.99,30
7631891753,Winter Knit Beanie,14.99,33
9993652202,Roasted Red Pepper Dip,3.29,71
9007820117,Travel Eye Mask with Ear Plugs,15.99,90
9887960349,Fitness Activity Journal,14.99,25
5131731364,Smart Wi-Fi Camera,89.99,41
1178078256,Dog Frisbee Toy,10.99,88
4754315545,Smartphone Holder for Car,14.99,20
3703289147,Fitbit Activity Tracker,99.99,43
2582752975,Steak Seasoning Rub,2.49,11
5985736024,Radish Chips,2.89,30
6184670506,Sweet BBQ Dipping Sauce,3.49,59
9447355595,Black Bean Salsa,3.49,92
7217654238,Energy Bites,3.99,46
7318003119,Baby Monitor,79.99,26
4783818010,Adjustable Height Standing Desk Converter,89.99,55
8393283663,Nail Polish Set,25,1
3130912223,Outdoor Picnic Blanket,34.99,4
9064886822,Almond Joy Munch Bars,1.39,42
2134561378,Sweet Potato Mash,3.99,94
3435120371,Action Camera,199.99,51
0740206702,High-Quality Yoga Block,12.99,1
2059563968,Coconut Granola,4.19,87
2508362263,Wall-Mounted Wine Rack,39.99,87
0059872462,Whole Wheat Pasta,2.49,87
8276745121,Crispy Potato Tots,3.69,61
9514596994,Tennis Racket,89.99,34
6749999328,Asian Salad Mix,3.99,94
7160836855,Chocolate Protein Powder,24.99,50
8434645572,Miso Dressing,3.49,11
6919743353,Dual Function Electric Skillet,59.99,60
1683711149,Beef Enchilada Casserole,8.99,22
8946119039,Organic Blueberries,5.49,19
3930954982,Mechanical Pencil Set,19.99,20
6809336559,Caraway Rye Bread,4.79,69
0390248835,Garlic Butter Shrimp,8.99,97
5883165109,Pet Safety Belt for Car,14.99,40
2924039657,Smartphone UV Sanitizer,39.99,28
1097700135,Tea Set with Infuser,34.99,62
3348523877,Faux Fur Throw Blanket,39.99,35
4758671486,Pasta (Linguine),1.89,65
6059233759,Mango Chia Pudding,4.49,84
8635770277,Comfortable Bed Pillow,24.99,26
7110039293,Pet Training Clicker,5.99,26
9164949664,Electric Ice Cream Maker,59.99,44
8614616422,Fruit & Nut Trail Mix,4.99,85
5378833248,Puzzle 3D Model Kit,22.99,46
6952860959,Shower Curtain Hooks,12.99,38
2091881805,Overnight Duffle Bag,34.99,40
8569997213,Honey Garlic Shrimp,8.49,76
3068677645,Digital Drawing Tablet,79.99,43
0606242430,Herbed Goat Cheese,5.49,83
5916778899,Mechanical Pencil Set,19.99,81
9289730692,Solar Garden Lights,39.99,22
9220790084,Surimi Crab Sticks,4.19,37
6229310724,Floral Summer Dress,39.99,100
7717328739,Art Supplies Organizer,18.99,68
2345313765,Plant Growing Kit,22.99,92
2663811505,Chili Powder,2.09,2
2054801372,LED Strip Lights Kit,29.99,73
6206247619,Samsung Galaxy Smartwatch,249.99,25
9784122472,Tea Infuser Bottle,19.99,55
4151874933,Collapsible Water Bottle,12.99,83
8852497897,Zesty Garlic Hummus,3.99,12
6518706031,Pasta (Linguine),1.89,24
5977724241,Cranberry Almond Biscotti,4.19,74
6400184155,Collapsible Camping Cup,9.99,50
4591380955,Breezy Off-The-Shoulder Top,34.99,45
0464841178,Travel Orthopedic Pillow,24.99,55
8208427675,Magnetic Spice Jars,24.99,30
9847921210,Herb-Infused Olive Oil,8.99,21
0815308647,Electric Blanket,59.99,52
0582798248,Instant Read Meat Thermometer,24.99,92
9280642200,Stuffed Peppers with Quinoa,7.99,13
2274356580,Sliced Olives,1.99,37
8868759624,Caramel Apple Taffy,1.99,79
8887582939,Cheddar Cheese Slices,3.49,67
7102975686,Chino Shorts,34.99,35
2198066661,Travel Document Organizer,15.99,62
7609054232,Outdoor Adventure Backpack,59.99,76
6465333953,High-Speed Hand Blender,39.99,24
9636862338,Multifunctional Pocket Tool,19.99,49
8668217801,Scent Diffuser,34.99,97
6948959121,Stainless Steel Mixing Bowls,29.99,41
2675346926,Mango Chia Pudding,4.49,80
2650254556,USB Wall Charger,19.99,48
4982654301,Savory Oatmeal Cups,1.99,77
4122835704,Wall Art,45,20
5265627529,Organic Honeycrisp Apples,1.99,7
6646747229,Fitness Jump Rope with LCD Counter,15.99,86
7109725138,Honey BBQ Riblets,12.99,40
4123352383,Mango Sticky Rice Dessert,4.5,40
0638744903,Puff Pastry,5.49,93
1547126299,Cheddar Cheese Crackers,2.29,27
6471276567,Hot Salsa,2.29,60
1439068119,Spicy Salsa Verde,3.49,2
6198346285,Eggs (dozen),2.99,10
6617523865,Chicken Breasts,9.99,62
5608201035,Laundry Detergent,12.99,67
9389846773,Herb-Infused Olive Oil,8.99,59
5275798903,Waffle Maker,39.99,58
9665077791,Bodyweight Resistance Bands,22.99,8
4981902255,Cauliflower Rice Stir-Fry,4.99,17
4965453794,Vanilla Ice Cream,4.99,30
8781006225,Granulated Sugar,2.49,28
8134239870,Picnic Blanket,29.99,95
1216713944,Rice Noodles,3.49,38
5876612332,Vegetable Broth,2.29,48
0579086925,Kid's Fruit Snacks,2.49,62
1444197991,Reclining Camping Chair,49.99,6
2075649375,Indoor Grill,59.99,89
1307905471,Mini Projector for Smartphones,99.99,71
1066690553,Maple Cinnamon Almonds,4.29,95
7216918762,Ultraviolet Phone Sanitizer,39.99,22
2052540172,Bike Repair Tool Kit,29.99,70
6539474725,Mini Air Hockey Table,39.99,82
3325282792,Waffle Maker,39.99,72
3850318001,DIY Candle Kit,34.99,43
9690486055,Hummus Variety Pack,5.99,60
8884175593,Memory Card,15.99,13
7709559484,Garden Hoses with Expandable Features,34.99,20
7664339545,Apple Juice,3.29,58
1236932536,LED Disco Ball Light,19.99,61
0612906515,Slingback Sandals,29.99,14
2756461229,Summer Tank Dress,39.99,41
6802820307,Wild Rice Pilaf,3.79,64
8169321174,Coffee Grinder,39.99,93
8183647596,Natural Soy Candles,19.99,64
9244925680,Baking Soda,0.99,80
4191859862,Magnetic Whiteboard,34.99,96
